ticker,Best_Model,Best_LogL,Best_AIC,Best_BIC
AAPL,EGARCH_Normal,-24787.634267407662,49583.26853481533,49610.25476423351
ADBE,EGARCH_Normal,-34237.79754109054,68483.59508218108,68510.58131159926
ADP,EGARCH_Normal,-26105.109347627546,52218.21869525509,52245.20492467326
BA,EGARCH_Normal,-31906.505735905623,63821.01147181125,63847.99770122943
CAT,EGARCH_Normal,-33170.16753606964,66348.33507213928,66375.32130155746
CSCO,EGARCH_Normal,-23018.64943850397,46045.29887700794,46072.28510642611
DE,EGARCH_Normal,-28884.375304388966,57776.75060877793,57803.736838196106
EMR,EGARCH_Normal,-28233.37245604581,56474.74491209162,56501.731141509794
FDX,EGARCH_Normal,-27667.036810697613,55342.073621395226,55369.0598508134
GE,EGARCH_StudentT,-344.91008614270226,699.8201722854045,711.9143753243875
HON,EGARCH_Normal,-29216.03301705745,58440.0660341149,58467.05226353307
HPQ,EGARCH_Normal,-36738.053737130525,73484.10747426105,73511.09370367923
IBM,EGARCH_Normal,-31041.403730378413,62090.80746075683,62117.793690175
INTC,EGARCH_Normal,-27475.735070353847,54959.470140707694,54986.45573404413
LMT,EGARCH_StudentT,-386.7659667031438,783.5319334062876,796.1949308720539
MMM,EGARCH_StudentT,-403.30483771876015,816.6096754375203,829.4314163948595
MSFT,EGARCH_Normal,-26089.418140928006,52186.83628185601,52213.82187519245
NVDA,EGARCH_Normal,-30154.865036692216,60317.73007338443,60344.71566672087
ORCL,EGARCH_StudentT,-191.05745866372663,392.1149173274533,400.9209179059212
PH,EGARCH_Normal,-66554.6126796057,133117.2253592114,133144.21158862958
QCOM,EGARCH_Normal,-40250.14584166023,80508.29168332047,80535.27791273865
UNP,EGARCH_Normal,-33185.9064461911,66379.8128923822,66406.79912180037
UPS,EGARCH_Normal,-66035.96698919532,132079.93397839065,132106.9202078088
XRX,EGARCH_Normal,-26646.626422158697,53301.252844317394,53328.23907373557
