ticker,mu,omega,alpha[1],beta[1],persistence,logL,aic,bic,LB_pval_resid,LB_pval_sqresid,converged
AAPL,0.5553724917658245,0.02789307552392061,0.039733678490206085,0.9966024823127441,1.0363361608029502,-24787.634267407666,49583.26853481533,49610.254764233505,0.1381657340190019,2.772963351482689e-48,0
MSFT,0.5888573421432657,0.1120932701520451,0.13757520427850692,0.9805606051069566,1.1181358093854636,-26089.418140928006,52186.83628185601,52213.82187519245,0.013079162530673934,0.8113244110784331,0
INTC,0.2018279470544288,0.08769201001450941,0.12096744205877676,0.9858594627123843,1.1068269047711612,-27475.735070353847,54959.470140707694,54986.45573404413,0.18914586278936962,0.5736475111218117,0
CSCO,-1.1621741383822914e-05,0.19393080626072634,0.17429603715285624,0.9825078491826021,1.1568038863354584,-23018.64943850397,46045.29887700794,46072.28510642611,0.7363248443662063,0.9976420312862336,0
IBM,-0.38486433292427513,0.16512000541618527,0.1428226667825785,0.9902039601102938,1.1330266268928724,-31041.403730378413,62090.80746075683,62117.793690175,0.9768037391218644,0.8987085226817452,0
NVDA,1.5479305538892323,0.1066073188022921,0.12526954664349615,0.9849082973865165,1.1101778440300127,-30154.865036692216,60317.73007338443,60344.71566672087,0.5611155789243039,0.8547426883953324,0
XRX,-0.3732894288436399,0.14994047884379097,0.12620040074472852,0.98698234354116,1.1131827442858886,-26646.626422158697,53301.252844317394,53328.23907373557,0.351116475456448,0.9924847424305113,0
ADBE,1.349314060264137,5.4704749203754055,-0.08139486534341411,0.31550061547853114,0.23410575013511703,-34237.79754109054,68483.59508218108,68510.58131159926,0.9885195845004454,1.8095116155710605e-42,0
QCOM,-23.445697717510708,2.923921537686173,9.331280110895573,0.8062116121671198,10.137491723062693,-40250.14584166023,80508.29168332047,80535.27791273865,0.0,7.74983057829552e-05,4
HPQ,1.0423139055541124,8.800335588526107,-0.10660402807531127,4.1328989714441416e-15,-0.10660402807530714,-36738.053737130525,73484.10747426105,73511.09370367923,0.008040118328037525,1.832968815446872e-150,0
ADP,0.01787445969227079,0.147954164395754,0.14197365948659324,0.9882405077923294,1.1302141672789228,-26105.109347627542,52218.218695255084,52245.20492467326,0.5358921560228497,0.9999969975784836,0
CAT,0.00018988579518241483,0.14282239784563694,0.10515453508757709,0.9906514681818918,1.0958060032694688,-33170.16753606964,66348.33507213928,66375.32130155746,0.47940642320709226,0.9548080961589094,0
DE,0.028570897775712815,0.48957581819058704,0.5286781781372166,0.982093525509231,1.5107717036464476,-28884.375304388966,57776.75060877793,57803.736838196106,0.9999988840522044,0.9999999861232944,0
HON,-1.0714046567336508e-08,0.17080733466649978,0.11989717268315295,0.98601399474445,1.105911167427603,-29216.03301705745,58440.0660341149,58467.05226353307,0.4518735376605503,0.0008335129738177585,0
UPS,-0.5881570513931562,17.324340853492657,0.04086034124641944,0.9585259550409356,0.9993862962873551,-66035.96698919532,132079.93397839065,132106.9202078088,0.9999987751883611,0.9999999330675207,0
FDX,0.3154586911594651,0.2112774884597448,0.1732098749744683,0.9819049339380186,1.155114808912487,-27667.036810697613,55342.073621395226,55369.0598508134,0.8151363319102731,0.9999983747058018,0
UNP,5.424418106628808e-06,0.06349396332686814,0.05787878693936859,0.9969077513944447,1.0547865383338133,-33185.9064461911,66379.8128923822,66406.79912180037,0.9512863040377613,0.9999979926810945,0
BA,0.007305413099954319,0.4207652746774651,0.3181920348111881,0.9663486953982852,1.2845407302094731,-31906.505735905626,63821.01147181125,63847.997701229426,0.9659969737451541,0.04207411145445574,0
PH,-0.7461989243042756,18.10561841335702,0.022955481625149113,0.977044518374851,1.0,-66554.6126796057,133117.2253592114,133144.21158862958,0.999999996742201,0.9999999790533265,0
EMR,1.6358194873297547e-07,0.2522131929870649,0.16686435894898377,0.9775539692487266,1.1444183281977103,-28233.37245604581,56474.74491209162,56501.731141509794,0.7132276580142687,0.5775617198885233,0
