ticker,mu,omega,alpha[1],beta[1],nu,logL,aic,bic,convergence_flag,persistence,stability_class,LB_pval_resid,LB_pval_sqresid,converged
LMT,-0.5470847402745701,0.161407251738318,0.3184853313448553,0.9711080562904312,4.632504818221512,-386.7659667031438,783.5319334062876,796.1949308720539,0,1.2895933876352863,Stable,,,
MMM,-1.92344120568898,1.735779025393628,0.2486979743709785,0.730863530218812,2.6461749599078224,-403.30483771876015,816.6096754375203,829.4314163948595,0,0.9795615045897904,Stable,,,
ORCL,0.4906764444189722,0.1607513408663566,0.1237417171501771,0.9606634614980084,3.715609454086766,-191.05745866372663,392.1149173274533,400.9209179059212,0,1.0844051786481854,Stable,,,
GE,2.128051854532312,1.7872348404566576,0.6993120697996019,0.6910024610059913,4.632216270226282,-344.91008614270226,699.8201722854045,711.9143753243875,0,1.3903145308055933,Stable,,,
AAPL,0.5553724917658245,0.0278930755239206,0.039733678490206,0.996602482312744,,-24787.634267407662,49583.26853481533,49610.25476423351,0,1.03633616080295,Unstable,0.1381657340190019,2.772963351482689e-48,0.0
MSFT,0.5888573421432657,0.1120932701520451,0.1375752042785069,0.9805606051069566,,-26089.418140928006,52186.83628185601,52213.82187519245,0,1.1181358093854636,Stable,0.0130791625306739,0.8113244110784331,0.0
INTC,0.2018279470544288,0.0876920100145094,0.1209674420587767,0.9858594627123844,,-27475.735070353847,54959.470140707694,54986.45573404413,0,1.1068269047711612,Stable,0.1891458627893696,0.5736475111218117,0.0
CSCO,-1.1621741383822914e-05,0.1939308062607263,0.1742960371528562,0.982507849182602,,-23018.64943850397,46045.29887700794,46072.28510642611,0,1.1568038863354582,Stable,0.7363248443662063,0.9976420312862336,0.0
IBM,-0.3848643329242751,0.1651200054161852,0.1428226667825785,0.9902039601102938,,-31041.403730378413,62090.80746075683,62117.793690175,0,1.1330266268928724,Unstable,0.9768037391218644,0.8987085226817452,0.0
NVDA,1.5479305538892325,0.1066073188022921,0.1252695466434961,0.9849082973865164,,-30154.865036692216,60317.73007338443,60344.71566672087,0,1.1101778440300123,Stable,0.5611155789243039,0.8547426883953324,0.0
XRX,-0.3732894288436399,0.1499404788437909,0.1262004007447285,0.98698234354116,,-26646.626422158697,53301.252844317394,53328.23907373557,0,1.1131827442858886,Stable,0.351116475456448,0.9924847424305112,0.0
ADBE,1.349314060264137,5.4704749203754055,-0.0813948653434141,0.3155006154785311,,-34237.79754109054,68483.59508218108,68510.58131159926,0,0.2341057501351169,Stable,0.9885195845004454,1.8095116155710605e-42,0.0
QCOM,-23.445697717510708,2.923921537686173,9.331280110895571,0.8062116121671198,,-40250.14584166023,80508.29168332047,80535.27791273865,0,10.137491723062691,Unstable,0.0,7.74983057829552e-05,4.0
HPQ,1.0423139055541124,8.800335588526107,-0.1066040280753112,4.1328989714441416e-15,,-36738.053737130525,73484.10747426105,73511.09370367923,0,-0.106604028075307,Stable,0.0080401183280375,1.8329688154468722e-150,0.0
ADP,0.0178744596922707,0.147954164395754,0.1419736594865932,0.9882405077923294,,-26105.109347627546,52218.21869525509,52245.20492467326,0,1.1302141672789223,Stable,0.5358921560228497,0.9999969975784836,0.0
CAT,0.0001898857951824,0.1428223978456369,0.105154535087577,0.9906514681818918,,-33170.16753606964,66348.33507213928,66375.32130155746,0,1.0958060032694688,Unstable,0.4794064232070922,0.9548080961589094,0.0
DE,0.0285708977757128,0.489575818190587,0.5286781781372166,0.982093525509231,,-28884.375304388966,57776.75060877793,57803.736838196106,0,1.5107717036464476,Stable,0.9999988840522044,0.9999999861232944,0.0
HON,-1.0714046567336508e-08,0.1708073346664997,0.1198971726831529,0.98601399474445,,-29216.03301705745,58440.0660341149,58467.05226353307,0,1.1059111674276028,Stable,0.4518735376605503,0.0008335129738177,0.0
UPS,-0.5881570513931562,17.324340853492657,0.0408603412464194,0.9585259550409356,,-66035.96698919532,132079.93397839065,132106.9202078088,0,0.999386296287355,Stable,0.9999987751883612,0.9999999330675208,0.0
FDX,0.3154586911594651,0.2112774884597448,0.1732098749744683,0.9819049339380186,,-27667.036810697613,55342.073621395226,55369.0598508134,0,1.155114808912487,Stable,0.8151363319102731,0.9999983747058018,0.0
UNP,5.424418106628808e-06,0.0634939633268681,0.0578787869393685,0.9969077513944448,,-33185.9064461911,66379.8128923822,66406.79912180037,0,1.0547865383338133,Unstable,0.9512863040377612,0.9999979926810943,0.0
BA,0.0073054130999543,0.4207652746774651,0.3181920348111881,0.9663486953982852,,-31906.505735905623,63821.01147181125,63847.99770122943,0,1.2845407302094731,Stable,0.965996973745154,0.0420741114544557,0.0
PH,-0.7461989243042756,18.10561841335702,0.0229554816251491,0.977044518374851,,-66554.6126796057,133117.2253592114,133144.21158862958,0,1.0,Stable,0.999999996742201,0.9999999790533264,0.0
EMR,1.635819487329755e-07,0.2522131929870649,0.1668643589489837,0.9775539692487266,,-28233.37245604581,56474.74491209162,56501.731141509794,0,1.1444183281977105,Stable,0.7132276580142687,0.5775617198885233,0.0
