ticker,mu_hat,sigma_hat,m_hat,L1,L2,L3/L2,L4/L2,sector
AAPL,0.0003428247552389,0.0064372256201927,2.640756272478071,0.0003428247552389,0.0064372256201927,0.0111981721440077,0.5936863575155971,Industrial
ADBE,3.8532524925244334e-05,0.0020223984390862,5.683625042685022,3.8532524925244334e-05,0.0020223984390862,0.0069357206529779,0.8576788377295403,Industrial
ADP,9.774471314367022e-05,0.0009868138197073,7.578703388118467,9.774471314367022e-05,0.0009868138197073,0.082895179546119,0.8987917632362349,Industrial
BA,-5.987614000374292e-05,0.0016251923825083,6.537709814204697,-5.987614000374292e-05,0.0016251923825083,-0.036681594918594,0.8796904371123718,Industrial
CAT,1.078036131932515e-05,0.0003883891277773,19.42477603746271,1.078036131932515e-05,0.0003883891277773,0.0279857779952283,0.96574398947626,Industrial
CSCO,-1.827227748497912e-05,0.000682010919211,12.166542333019017,-1.827227748497912e-05,0.000682010919211,-0.028055434215978,0.9404307424037852,Industrial
DE,4.608111317533531e-05,0.0009797925155068,8.956844017003803,4.608111317533531e-05,0.0009797925155068,0.03895908972424,0.9164035321862531,Industrial
EMR,-3.375121213063539e-05,0.0003427041930192,24.095269106181956,-3.375121213063539e-05,0.0003427041930192,-0.096851246582528,0.9731185662324292,Industrial
FDX,2.7659666454892487e-05,0.0016583300935814,5.480039525920458,2.7659666454892487e-05,0.0016583300935814,0.0140201822410333,0.8512910819586098,Industrial
GE,2.5475077978654e-05,0.0001640674772946,30.153004724076496,2.5475077978654e-05,0.0001640674772946,0.1526751846857813,0.98328947879137,Industrial
HON,1.5173554115372603e-05,0.0002551308561413,20.467794921713516,1.5173554115372603e-05,0.0002551308561413,0.0584277271589573,0.9684249152244144,Industrial
HPQ,3.818048228868386e-05,0.0034095045653521,3.8034637813972934,3.818048228868386e-05,0.0034095045653521,-0.0086377655273845,0.7622021159516847,Industrial
IBM,-2.889177491763377e-06,0.0002891416637098,19.58493873193706,-2.889177491763377e-06,0.0002891416637098,-0.0100646578408197,0.96616114260438,Industrial
INTC,-0.0002334095045963,0.012316953332528,2.1,-0.0002334095045963,0.012316953332528,-0.0325920335566895,0.2635718441652984,Industrial
LMT,3.0002306953956703e-05,0.0001809869620479,29.48057953591934,3.0002306953956703e-05,0.0001809869620479,0.1651053643467089,0.9821679030029375,Industrial
MMM,-1.9282338799964984e-05,0.0001939037456975,29.171721018092914,-1.9282338799964984e-05,0.0001939037456975,-0.0965640242147329,0.9816539699779496,Industrial
MSFT,0.0002044198739827,0.0097388207387201,2.1,0.0002044198739827,0.0097388207387201,-0.0222991502778913,0.2683336795286201,Industrial
NVDA,0.0001675972176924,0.0196882791096643,2.1,0.0001675972176924,0.0196882791096643,-0.0447798141602763,0.2931374224544719,Industrial
ORCL,3.410683931775149e-06,0.0001398884172571,43.3575211625606,3.410683931775149e-06,0.0001398884172571,0.0237680468580186,0.9942837197578416,Industrial
PH,-6.390523431650522e-05,0.0004373273453458,19.174506218535345,-6.390523431650522e-05,0.0004373273453458,-0.1425999299380455,0.9650872268480668,Industrial
QCOM,8.177612634289796e-05,0.00072533828981,14.479859383627176,8.177612634289796e-05,0.00072533828981,0.1080720382207245,0.951479402311352,Industrial
UNP,-6.0070896955006185e-05,0.0003828254842236,18.718177396935705,-6.0070896955006185e-05,0.0003828254842236,-0.1505795026182326,0.9638729704471152,Industrial
UPS,-4.403705946920125e-05,0.0003477487262035,20.362416487088836,-4.403705946920125e-05,0.0003477487262035,-0.1221195959216645,0.968157504670704,Industrial
XRX,-7.596612368996265e-05,0.0009513465037007,11.632593373147975,-7.596612368996265e-05,0.0009513465037007,-0.0770032038277227,0.937962985157516,Industrial
