ticker,mu,omega,alpha[1],beta[1],beta[2],beta[3],persistence,nu,logL,AIC,BIC,LB_pval_resid,LB_pval_sqresid,convergence_flag
AAPL,0.14645416167352918,0.019805261878816555,0.19399806446858,0.7248106587886936,1.5184784107242562e-16,0.2657733821413728,1.1845821053986465,6.924575040925961,-12995.07456454149,26004.14912908298,26051.372804101662,0.009541976586152589,0.8637878282172562,0
MSFT,0.06886905734915309,0.020824565964042734,0.2102448626903525,0.844427938890411,6.156752560700353e-14,0.1421637500616147,1.19683655164244,6.4277965450290715,-11440.897574318207,22895.795148636415,22943.01993697518,0.013414988821452227,0.9465221747709873,0
INTC,0.059683928317859,0.014231321678865408,0.1514608131729779,0.9001989496890758,5.348828998296947e-15,0.09280962421021201,1.144469387072271,7.1318449789922145,-12851.000112346224,25716.00022469245,25763.225013031213,0.17000559564215906,0.7264579404626998,0
CSCO,0.07557431482237136,0.01486280142704437,0.18100217867203008,0.606472321355863,0.38822363794369386,8.995026656116928e-18,1.175698137971587,5.319597910592991,-12014.900094827404,24043.80018965481,24091.02386467349,0.5479242678478417,0.9004502422238747,0
IBM,0.04496708883660776,0.016240584299808725,0.1906540534638268,0.8794651657071333,0.0,0.10833743428546819,1.1784566534564282,5.498440558401498,-10421.53481760086,20857.06963520172,20904.29219672322,0.07834436111716953,0.9476705798190815,0
AMZN,0.10318310141635383,0.020228508475046442,0.19967691878064106,0.5538184179804013,0.1482713164631016,0.2916275700130675,1.1933942232372114,5.467132644143009,-13879.115760970222,27772.231521940445,27819.45631027921,0.40833228331718036,0.9830721558508212,0
NVDA,0.013976374937434794,-0.011693649326436947,0.13891760080221638,0.9792839234040137,0.0,0.013775828431967695,1.1319773526381978,6.8415761516632925,-1044.2698512552843,2102.5397025105685,2149.7644908493317,0.5246154570957665,0.7465102098744744,0
XRX,0.03884190676788726,0.026270915874598528,0.21532059894098227,0.6004102614143324,0.08358056713530662,0.3054909718670707,1.204802399357692,5.885374156775153,-13474.359045443965,26962.71809088793,27009.933967704168,0.30948386193411787,0.9188033716545569,0
ADBE,0.11590876217545319,0.018799485516071923,0.177198371967394,0.8274606181335605,7.936754875117569e-17,0.16612803336370582,1.1707870234646605,5.35816842115863,-13272.359406237305,26558.71881247461,26605.942487493292,0.36733653970227326,0.19278607661752475,0
QCOM,0.06429170236294084,0.022553654269558496,0.21823801555443573,0.6995418111410697,2.5427057268394223e-15,0.29265214871834844,1.2104319754138564,5.4348890145355355,-13309.706652991967,26633.413305983933,26680.636981002615,0.008833370731454779,0.15497372468959994,0
HPQ,0.09574518537911149,0.03458133354028312,0.21650035417056068,0.7627094457800417,0.0,0.2181977154698342,1.1974075154204367,5.550432206071672,-11276.256096160501,22566.512192321003,22613.053425739097,0.4000291248684452,0.4536297112438292,0
ADP,0.07272878590260363,0.016946609399802772,0.21458776438700497,0.612714828176437,0.28395055089000476,0.09192062395471265,1.2031737674081593,5.795479771843309,-10296.297020740361,20606.594041480723,20653.76967545217,0.00023349100192006781,0.823466419302656,0
RTX,0.0055786461211570215,0.011973921872171974,0.22062399527534557,0.41689117639188344,0.42654620499947155,0.15619603469567095,1.2202574113623714,4.827022196311789,-402.4475856968123,818.8951713936247,857.9206732901775,0.02929133326152495,0.9995891924737781,0
ETN,0.08351843740840777,0.023917534688978382,0.17163603615919135,0.7478184067533395,0.21766406585625053,0.01713160476915996,1.1542501135379415,9.631857496133515,-6373.027769688017,12760.055539376033,12802.653946780752,0.039719667162188464,0.9302973124368722,0
DE,0.07800565455943309,0.01472703018382478,0.14882920441292083,0.8366437229000043,1.3200692881891434e-14,0.15585906772662178,1.1413319950395602,6.541518573805221,-12232.899389191123,24479.798778382246,24527.02356672101,0.6280741191402182,0.7142608738694798,0
HON,0.0725167485819866,0.016222465170994488,0.2141080592275814,0.7737202125141684,0.0,0.21490696643959514,1.202735238181345,7.491183929273889,-11123.152687967273,22260.305375934546,22307.526823781714,0.4371128263668315,0.7026725070364203,0
UPS,0.03901085333911947,0.02057091353680166,0.25661107084189605,0.7333885795048556,2.357359459884439e-16,0.24788565500288565,1.2378853053496375,5.7861513011966235,-9952.06419963032,19918.12839926064,19965.34984710781,0.5918269375283394,0.47280861819946307,0
FDX,0.057980476734012985,0.016406655950445555,0.1522379397409356,0.7826414420485774,5.704938878024162e-15,0.20673859476688167,1.1416179765564005,6.933620630234043,-11924.538612887298,23863.077225774596,23910.300900793278,0.5105551891411358,0.4687689401243933,0
UNP,0.06451025443175032,0.018952281240804492,0.19890438344028477,0.6781936867936693,2.8611845736935825e-15,0.307322244052305,1.184420314286262,7.127168243450155,-11382.241228183684,22778.48245636737,22825.707244706133,0.09756772256124735,0.5186143081534702,0
BA,0.08477317707634559,0.02163212926048896,0.2113682662015555,0.5497409202745053,0.3189963080188542,0.11823381983988007,1.198339314334795,7.898576252203188,-12394.903115022125,24803.80623004425,24851.031018383015,0.7122067366792098,0.7128662004807418,0
NOC,0.08448610546093106,0.016281671580008397,0.18881700730241,0.7384630692400923,0.10077969408902526,0.14748244955340237,1.17554222018493,6.238466549550218,-10542.146196868136,21098.292393736272,21145.516068754954,0.349934982728705,0.8301379369011398,0
ROK,0.09786366124062265,0.032198579451978945,0.22074758174473247,0.7520018006538564,0.0,0.22854855658803672,1.2012979389866256,6.506135969355154,-12424.968364305663,24863.936728611327,24911.157062606955,0.04354265002257625,0.6204421014341279,0
EMR,0.054767061943912475,0.01947085570945322,0.1949436925071674,0.6613120676850989,9.024897379921291e-17,0.3243470109004687,1.1806027710927351,7.490452653280874,-11399.93463491267,22813.86926982534,22861.08960382097,0.013252171769081918,0.7233534158102537,0
CAT,0.07904119539544253,0.01915769429557055,0.145888049185589,0.756643862793074,0.23139157216189257,0.0,1.1339234841405557,7.109259299930439,-12358.548493352522,24731.096986705044,24778.320661723727,0.163404429695302,0.9832247744067872,0
